AcceptedName,Family,InvasionStatus ,NativeRegion
Lonchocarpus cultratus Azevedo & Lima,Paplionaceae,Cultivated,Brazil
Lonicera japonica Thunb.,Caprifoliaceae,Naturalised,China & Japan
Lonicera sempervirens L.,Caprifoliaceae,Cultivated,North America
Lophostemon confertus Wilson & Waterh.,Myrtaceae,Cultivated,Australia
Lotus jacobaeus L.,Paplionaceae,Casual,Tropical Africa
Luehea endopogon Kurz,Tiliaceae,Cultivated,Brazil
Ludwigia erecta Hara,Onagraceae,Naturalised,Tropical America
Ludwigia hyssopifolia Exell.,Onagraceae,Naturalised/Invasive,Tropical Africa
Lupinus albus L.,Paplionaceae,Cultivated,Caucasus
Lupinus polyphyllus Lindl.,Paplionaceae,Naturalised,North America
Lychnis coeli-rosea Desr.,Caryophyllaceae,Cultivated,Mediterranean Europe
Lycium barbarum L.,Solanaceae,Naturalised,China
Lycium europaeum L.,Solanaceae,Casual,Mediteranean region
Lycopersicon lycopersicum Karst.,Solanaceae,Cultivated,South America
Macfadyena unguis-cati (Linn.)A. Gentry ,Bignoniaceae,Cultivated,South America
Maclura pomifera Schne,Moraceae,Cultivated,North America
Macroptilium atropurpureum (DC.)Urb. ,Paplionaceae,Invasive,Tropical Central America
Macroptilium lathyroides Urban,Paplionaceae,Invasive,Europe
Macrotyloma uniflorum (Lamk.) Verdc.,Paplionaceae,Cultivated,Tropical Africa
Magnolia figo (Lour.) DC. ,Magnoliaceae,Casual/Naturalised,China
Magnolia grandiflora L.,Magnoliaceae,Cultivated,North America
Magnolia liliifera (L.) Baill.  ,Magnoliaceae,Cultivated,China & Japan
Magnolia soulangiana Hort.,Magnoliaceae,Cultivated,China
Malachra capitata L.,Malvaceae,Invasive,Tropical America
Malpighia coccigera L.,Malpighiaceae,Cultivated,West Indies
Malpighia emarginata DC.,Malpighiaceae,Cultivated,Tropical America
Malpighia glabra L.,Malpighiaceae,Cultivated,Tropical America
Malus pumila Mill.,Rosaceae,Cultivated,Europe
Malus sylvestris (L.) Mill.,Rosaceae,Cultivated,Temperate Europe
Malva parviflora L.,Malvaceae,Naturalised/Invasive,Southern Europe
Malvastrum coromandelianum Gracke,Malvaceae,Invasive,West Indies
Malvaviscus arboreus Dill. ex Cav.,Malvaceae,Cultivated,Tropical America
Mammea americana L.,Clusiaceae,Cultivated,Tropical America
Manihot dichotoma Ule,Euphorbiaceae,Cultivated,Brazil
Manihot esculenta Crantz.,Euphorbiaceae,Cultivated,Tropical America
Manihot grahamii Hook. ,Euphorbiaceae,Cultivated,South America
Manilkara kauki Dubard,Sapotaceae,Cultivated,Australasia
Manilkara zapota (L.) P.Royen ,Sapotaceae,Cultivated,Tropical America
Mansoa alliacea (Lam.) A. H. Gentry ,Bignoniaceae,Cultivated,Tropical Central America
Maranta bicolor Ker-Gawl.,Marantaceae,Cultivated,Brazil
Markhamia platycalyx Sprauge,Bignoniaceae,Cultivated,Tropical Africa
Martynia annua L.,Martyniaceae,Invasive,Tropical America
Mascarenhasia arborescens A. DC.,Apocynaceae,Cultivated,Tropical Africa
Matthiola incana R. Br.,Brassicaceae,Cultivated,Mediterranean Europe
Maurandya barclayana Lindl.,Plantaginaceae,Casual/Naturalised,Mexico
Mecardonia procumbens (Mill.) Small,Scrophulariaceae,Invasive,Tropical America
Medicago lupulina L.,Paplionaceae,Naturalised,Europe
Medicago polymorpha L.,Paplionaceae,Naturalised,Europe
Medicago sativa L.,Paplionaceae,Casual/Naturalised,Caucasus & West Asia
Melaleuca bracteata F. Muell.,Myrtaceae,Cultivated,Australia
Melaleuca leucadendron L.,Myrtaceae,Cultivated,Malayan peninsula
Melaleuca styphelioides Sm.,Myrtaceae,Cultivated,Australia
Melia azedarach L.,Meliaceae,Naturalised,Iran & Asia Minor
Melianthus major L.,Melianthaceae,Naturalised,South Africa
Melilotus alba Desr.,Paplionaceae,Invasive,Europe & West Asia
Melilotus indicus (L.) All.,Paplionaceae,Naturalised,Europe & West Asia
Melinis minutiflora P. Beauv.,Poaceae,Casual,Tropical Africa
Melocalamus compactiflorus Daral,Poaceae,Cultivated,Myanamar
Melochia pyramidata L.,Sterculiaceae,Naturalised,Tropical America
Mentha arvensis L.,Lamiaceae,Casual/Naturalised,China & Japan
Mentha piperita L.,Lamiaceae,Casual,Europe
Merremia aegyptia (L.) Urban ,Convolvulaceae,Invasive,Pantropical
Merremia dissecta (Jacq.) Hallier f.,Convolvulaceae,Naturalised,Tropical America
Merremia gangetica Cufod.,Convolvulaceae,Naturalised,Tropical Africa
Merremia quinquefolia Hall. f.,Convolvulaceae,Naturalised,Tropical America
Micrococca mercurialis Benth.,Euphorbiaceae,Naturalised,Tropical Africa & West Asia
Mikania cordata B. L. Robinson,Asteraceae,Naturalised,South East Asia
Mikania micrantha Kunth,Asteraceae,Invasive,Tropical America
Millettia brandisiana Kurz.,Paplionaceae,Cultivated,Myanamar
Millettia peguensis Ali ,Paplionaceae,Cultivated,Myanamar
Millingtonia hortensis L. f.,Bignoniaceae,Cultivated,Malayan peninsula
Mimosa diplotricha C. Wright,Mimosaceae,Naturalised,Tropical America
Mimosa distachya Cav. ,Mimosaceae,Naturalised,Tropical Central America
Mimosa pigra L.,Mimosaceae,Naturalised/Invasive,Tropical Africa & America
Mimosa pudica L.,Mimosaceae,Invasive,South America
Mimulus luteus L.,Scrophulariaceae,Cultivated,America
Mirabilis jalapa L.,Nyctaginaceae,Invasive,Tropical America
Mitracarpus hirtus (L.) DC. ,Rubiaceae,Naturalised/Invasive,Tropical Africa
Mitracarpus scabrum Zucc.,Rubiaceae,Naturalised,Tropical Africa
Moltkia suffruticosa Brand.,Boraginaceae,Cultivated,Mediterranean Europe
Monochoria vaginalis K. B. Presl.,Pontederiaceae,Invasive,South East Asia
Monstera deliciosa Lieb.,Araceae,Cultivated,Tropical America
Montanoa bipinnatifida C. Koch,Asteraceae,Naturalised,Tropical America
Montanoa grandiflora Hemsl.,Asteraceae,Cultivated,Mexico
Moringa oleifera Lam.,Moringaceae,Casual/Naturalised,Northern Africa
Morus alba L.,Moraceae,Naturalised,China
Morus nigra L.,Moraceae,Cultivated,Iran
Muehlenbeckia platyclados Meissn.,Polygonaceae,Cultivated,Soloman Islands
Muntingia calabura L.,Elaeocarpaceae,Naturalised,Tropical America
Musa paradisiaca L. ,Musaceae,Naturalised,Cryptogenic
Musa textilis Nee,Musaceae,Cultivated,Indonesia & Philippines
Mussaenda erythrophylla Schum. & Thonn.,Rubiaceae,Cultivated,Tropical Africa
Mussaenda flava (Verdc.) Bakh. f.,Rubiaceae,Cultivated,Africa
Mussaenda frondosa L.,Rubiaceae,Cultivated,Tropical Africa
Mussaenda glabrata (Hook.f.) Gamble ,Rubiaceae,Cultivated,West Indies
Mussaenda luteola Del.,Rubiaceae,Cultivated,Tropical Africa
Mussaenda philippica Rich.,Rubiaceae,Cultivated,Philippines
Myristica fragrans Houtt.,Myristicaceae,Cultivated,South East Asia
Myroxylon balsamum (L.) Harms ,Paplionaceae,Cultivated,Tropical America
Myrtus communis L.,Myrtaceae,Cultivated,Mediterranean region
Nandina domestica Thunb.,Nandinaceae,Cultivated,China & Japan
Nasturtium officinale  R. Br.,Brassicaceae,Naturalised,Eurasia
Nauclea orientalis L.,Rubiaceae,Cultivated,Malayan peninsula
Nemesia strumosa Benth.,Scrophulariaceae,Cultivated,South Africa
Nemesia versicolor E. Mey,Scrophulariaceae,Cultivated,South Africa
Nemophila insignis Benth.,Hydrophyllaceae,Cultivated,California
Neolamarckia cadamba Bosser,Rubiaceae,Cultivated,Malayan peninsula
Nephelium lappaceum L.,Sapindaceae,Cultivated,Malayan peninsula
Neptunia pleno (L.) Benth.,Paplionaceae,Naturalised,Tropical America
Nerium indicum Mill.,Apocynaceae,Casual/Naturalised,China
Nerium oleander L.,Apocynaceae,Casual/Naturalised,Mediteranean region
Nicandra physaloides Gaertn.,Solanaceae,Invasive,Peru
Nicotiana alata Link. & Otto.,Solanaceae,Cultivated,South America
Nicotiana glauca Graham.,Solanaceae,Naturalised,Tropical America
Nicotiana plumbaginifolia Viv.,Solanaceae,Invasive,Tropical America
Nicotiana rustica L.,Solanaceae,Cultivated,South America
Nicotiana tobaccum L.,Solanaceae,Casual/Naturalised,Tropical America
Nigella damascena L.,Ranunculaceae,Cultivated,Mediteranean region
Nigella sativa L.,Ranunculaceae,Cultivated,West Asia
Nothosaerva brachiata Wight,Amaranthaceae,Naturalised/Invasive,Tropical Africa
Nyctanthes arbor-tristis L.,Oleaceae,Cultivated,Indonesia
Nyctocereus serpentinus Britt. & Rose,Cactaceae,Cultivated,Mexico
Nymphaea alba L.,Nymphaeaceae,Naturalised,Europe & North Africa
Nymphaea nouchali Burm. f. ,Nymphaeaceae,Naturalised,South East Asia
Nymphoides indica (L.) Kuntze,Menyanthaceae,Naturalised,Tropical Asia
Ochna atropurpurea DC.,Ochnaceae,Cultivated,South Africa
Ochna thomasiana Engl. & Gilg ex Gilg,Ochnaceae,Cultivated,South Africa
Ochroma pyramidale (Cav. ex Lam.) Urban  ,Bombacaceae,Cultivated,Tropical Central America
Ochrosia elliptica Labill.,Apocynaceae,Cultivated,Australia
Ocimum americanum L.    ,Lamiaceae,Invasive,Tropical Africa
Ocimum gratissimum L. ,Lamiaceae,Naturalised,Tropical Africa
Ocimum kilimandscharicum Guerke,Lamiaceae,Cultivated,Eastern Africa
Odontadenia macrantha Markgr. ,Apocynaceae,Cultivated,Tropical South America
Oenothera beinnis L.,Onagraceae,Naturalised/Invasive,North America
Oenothera drummondii Hk.,Onagraceae,Naturalised,North America
Oenothera odorata Jacq.,Onagraceae,Naturalised/Invasive,South America
Oenothera rosea Ait.,Onagraceae,Naturalised/Invasive,Mexico
Oenothera tetraptera Cav.,Onagraceae,Naturalised/Invasive,Central America
Oldenlandia corymbosa L. ,Rubiaceae,Naturalised/Invasive,Tropical Africa
Oldenlandia ovatifolia (Cav.) DC. ,Rubiaceae,Naturalised,Japan
Olea europaea L.,Oleaceae,Cultivated,Mediterranean region
Oncoba spinosa Forssk.,Flacourtiaceae,Cultivated,Tropical Africa & West Asia
Opuntia cochenillifera (L.) Mill.,Cactaceae,Naturalised,Mexico
Opuntia dillenii Haw.,Cactaceae,Invasive,Mexico
Opuntia elatior Mill.,Cactaceae,Naturalised/Invasive,South America
Opuntia ficus-indica Miller,Cactaceae,Naturalised,Mexico
Opuntia monacantha Haworth,Cactaceae,Naturalised,Tropical America
Opuntia stricta Haw. ,Cactaceae,Invasive,Mexico
Opuntia vulgaris Mill.,Cactaceae,Naturalised/Invasive,North America
Ormocarpum trachycarpum Harms,Paplionaceae,Cultivated,Tropical Africa
Ottelia alismoides Pers. ,Hydrocharitaceae,Naturalised,Australasia
Oxalis corniculata L.,Oxalidaceae,Invasive,Europe
Oxalis corymbosa DC.,Oxalidaceae,Invasive,South America
Oxalis debilis Kunth,Oxalidaceae,Invasive,South America
Oxalis deppei Lodd.,Oxalidaceae,Naturalised/Invasive,Mexico
Oxalis latifolia H. B. & K.,Oxalidaceae,Invasive,Brazil
Oxalis martiana Zucc.,Oxalidaceae,Naturalised/Invasive,Brazil
Oxalis pes-caprae Linn.,Oxalidaceae,Invasive,South Africa
Oxalis pubescens H. B. K.,Oxalidaceae,Naturalised/Invasive,South America
Oxalis richardiana Babu,Oxalidaceae,Naturalised/Invasive,Mexico
Oxalis variabilis Jacq.,Oxalidaceae,Naturalised,South Africa
Oxygonum sinuatum (A. Rich) Dammer,Polygonaceae,Naturalised/Invasive,Tropical Africa
Oxytenanthera abyssinica (A. Rich.) Munro,Poaceae,Cultivated,Tropical Africa
Oxytenanthera albociliata Munro,Poaceae,Cultivated,Myanamar
Pachyrhizus erosus (L.) Urb.,Acanthaceae,Casual/Naturalised,Central America
Pachystachys coccinea Nees,Acanthaceae,Cultivated,South America
Panax obtusum Blume,Araliaceae,Cultivated,Java
Pandanus odoratissimus (L.) Roxb.,Pandanaceae,Cultivated,Tropical Africa
Panicum coloratum L.,Poaceae,Casual,Tropical Africa
Panicum hippothrix K. Schum.,Poaceae,Naturalised/Invasive,Eastern Africa
Panicum maximum Jacq.,Poaceae,Naturalised,Tropical Africa
Panicum turgidum Forsk.,Poaceae,Casual,West Asia
Papaver rhoeas L.,Papaveraceae,Naturalised,"Europe, northern Africa & West Asia"
Papaver somniferum L.,Papaveraceae,Casual/Naturalised,Mediterranean region
Parkia biglandulosa Wight & Arn.,Mimosaceae,Cultivated,Myanamar
Parkinsonia aculeata L.,Caesalpiniaceae,Naturalised/Invasive,Tropical America
Parmentiera cereifera Seem.,Bignoniaceae,Cultivated,Central America
Parthenium hysterophorus L.,Asterceae,Invasive,Central America
Paspalum dilatatum Poir.,Poaceae,Naturalised,Tropical America
Paspalum notatum Fluegge,Poaceae,Naturalised,America
Paspalum plicatulum Michx.,Poaceae,Naturalised,America
Passiflora antioquiensis Karst.,Passifloraceae,Cultivated,Colombia
Passiflora caerulea L.,Passifloraceae,Cultivated,Brazil
Passiflora calcarata Mast.,Passifloraceae,Naturalised/Invasive,Mascarene Islands
Passiflora edulis Sims,Passifloraceae,Naturalised/Invasive,Brazil
Passiflora foetida L.,Passifloraceae,Invasive,Brazil & West Indies
Passiflora incarnata L.,Passifloraceae,Cultivated,America
Passiflora mollissima Bailey,Passifloraceae,Naturalised/Invasive,Tropical South America
Passiflora quadrangularis L.,Passifloraceae,Cultivated,Tropical America
Passiflora suberosa L.,Passifloraceae,Naturalised,West Indies
Passiflora subpeltata Ortega,Passifloraceae,Naturalised,Tropical America
Paulownia tomentosa Steudel,Scrophulariaceae,Cultivated,China
Pavonia hastata Cav.,Malvaceae,Cultivated,South America
Pedalium murex L.,Pedialiaceae,Invasive,Tropical Africa
Pedilanthus tithymaloides Poir.,Euphorbiaceae,Casual/Naturalised,Central America
Peltophorum africanum Sond.,Caesalpiniaceae,Cultivated,Tropical Africa
Peltophorum pterocarpum Backer ex K. Heyne,Caesalpiniaceae,Cultivated,Malayan peninsula
Peltophorum vogetianum Walp.,Caesalpiniaceae,Cultivated,Brazil
Pennisetum clandestinum Hochst. ex Chiov.,Poaceae,Naturalised,Tropical Africa
Pennisetum glaucum (L.) R. Br. ,Poaceae,Naturalised/Invasive,Tropical Africa
Pennisetum purpureum Schumach.,Poaceae,Invasive,Tropical Africa
Pentapetes phoenicea L.,Sterculiaceae,Naturalised,South East Asia
Pentas lanceolata Deflers,Rubiaceae,Cultivated,Tropical Africa
Peperomia pellucida (L.) H. B. & K.,Piperaceae,Invasive,Central America
Pereskia aculeata Mill.,Cactaceae,Cultivated,Tropical America
Pereskia grandiflora Hort. ex Pfeiff.,Cactaceae,Cultivated,Brazil
Persea americana Mill.,Lauraceae,Cultivated,Mexico
Persea bowdenii Koster,Lauraceae,Cultivated,Mexico
Persicaria barbata (L.) H. Hara ,Polygonaceae,Naturalised/Invasive,Temperate Asia
Petiveria alliacea L.,Phytolaccaceae ,Naturalised,Tropical America
Petrea volubilis L.,Verbenaceae,Cultivated,Tropical America
Petunia atkinsiana D. Don ex Loud. ,Solanaceae,Cultivated,North America
Petunia axillaris BSP.,Solanaceae,Cultivated,South America
Petunia nyctaginiflora Juss.,Solanaceae,Casual,Argentina
Petunia violacea Lindl.,Solanaceae,Cultivated,South America
Phalaris aquatica L. ,Poaceae,Casual,Mediterranean region
Phalaris arundinacea L.,Poaceae,Invasive,North America
Phalaris minor Retz.,Poaceae,Invasive,Mediterranean region
Phaseolus lunatus L.,Paplionaceae,Cultivated,Tropical America
Phaseolus vulgaris L.,Paplionaceae,Cultivated,Tropical America
Philadelphus coronarius L.,Philadelphaceae,Cultivated,Europe
Philenoptera violacea (Klotzsch) Schrire ,Paplionaceae,Cultivated,Tropical Africa
Phlox drummondii Hook.,Polemoniaceae,Cultivated,North America
Phoenix canariensis Hort.,Arecaceae,Cultivated,Canary Islands
Phoenix dactylifera L.,Arecaceae,Cultivated,North Africa & West Asia
Phoenix reclinata Jack.,Arecaceae,Casual/Naturalised,Tropical Africa
Phoenix roebelenii O'Brien,Arecaceae,Cultivated,China
Phoenix senegalensis Van Houtte,Arecaceae,Cultivated,South Africa
Phragmites australis Trin. ex Steud.,Poaceae,Invasive,Temperate Eurasia
Phyllanthus acidus (L.) Skeels ,Euphorbiaceae,Cultivated,Madagascar
Phyllanthus asperulatus Hutch.,Euphorbiaceae,Naturalised/Invasive,Tropical America
Phyllanthus emblica L. ,Euphorbiaceae,Casual/Naturalised,Tropical Asia
Phyllanthus tenellus Roxb.,Euphorbiaceae,Invasive,Mascarene Islands
Physalis angulata L.,Solanaceae,Invasive,America
Physalis heterophylla Nees,Solanaceae,Cultivated,North America
Physalis lagascae Roem. & Schult.,Solanaceae,Invasive,South America
Physalis peruviana L.,Solanaceae,Naturalised/Invasive,Tropical America
Physalis pruinosa L. ,Solanaceae,Invasive,Mexico
Pilea microphylla (L.) Liebm.,Urticaceae,Invasive,Tropical America
Pilea trianthemoides (Swartz) Lindley ,Urticaceae,Cultivated,Mexico
Pimenta dioica (L.) Merr. ,Myrtaceae,Cultivated,West Indies
Pimenta racemosa (Miller) J. Moore ,Myrtaceae,Cultivated,Tropical America
Pinus canariensis Sin.,Pinaceae,Cultivated,Canary Islands
Pinus caribea Mor.,Pinaceae,Cultivated,Cuba
Pinus densiflora Sieb. & Zucc.,Pinaceae,Cultivated,Japan
Pinus elliotti Engl.,Pinaceae,Cultivated,North America
Pinus halpensis Mill.,Pinaceae,Cultivated,Cyprus
Pinus hartwegii Lindl.,Pinaceae,Cultivated,Mediterranean region
Pinus merkusii Junn. & Diur.,Pinaceae,Cultivated,Myanamar
Pinus oocarpa Schiede,Pinaceae,Cultivated,Mexico
Pinus patula Schiede & Deppe,Pinaceae,Cultivated,Mexico
Pinus radiata D. Don.,Pinaceae,Casual/Naturalised,North America
Piper betle L.,Piperaceae,Naturalised,Malayan peninsula
Piper nigrum L.,Piperaceae,Cultivated,South East Asia
Piptadenia rigida Benth.,Mimosaceae,Cultivated,Brazil
Pistia stratiotes L.,Araceae,Invasive,North America
Pisum arvense L.,Paplionaceae,Cultivated,Mediterranean Europe
Pisum sativum L.,Paplionaceae,Casual,West Asia
Pithecellobium dulce Benth.,Mimosaceae,Invasive,Central America
Platanus occidentalis L.,Platanaceae,Cultivated,America
Platanus orientalis L.,Plantanaceae,Cultivated,West Asia
Platycladus orientalis (L.) Franco ,Cupressaceae,Cultivated,China & Japan
Plumbago auriculata Lam.,Plumbaginaceae,Cultivated,South Africa
Plumbago zeylanica L.,Plumbaginaceae,Casual/Naturalised,Tropical Africa
Plumeria alba L.,Apocynaceae,Cultivated,West Indies
Plumeria obtusa L.,Apocynaceae,Cultivated,Mexico & West Indies
Plumeria rubra L.,Apocynaceae,Casual/Naturalised,West Indies
Poa annua L.,Poaceae,Naturalised,Europe
Podocarpus gracilior Pilger,Podocarpaceae,Cultivated,Central Africa
Podocarpus latifolius R. Br.,Podocarpaceae,Cultivated,Central Africa
Podocarpus macrophyllus (Thunb.) Sweet,Podocarpaceae,Cultivated,China & Japan
Podocarpus neriifolia D. Don.,Podocarpaceae,Cultivated,China
Poinciana pulcherrima L.,Paplionaceae,Cultivated,South America
Polianthes tuberosa L.,Amaryllidaceae,Cultivated,Mexico
Polyalthia longifolia (Sonner) Thw.,Annonaceae,Casual/Naturalised,Cryptogenic
Polycarpaea corymbosa Lamk.,Caryophyllaceae,Naturalised/Invasive,Pantropical
Polycarpon tetraphyllum L.,Caryophyllaceae,Naturalised/Invasive,Europe
Polygonum chinense L.,Polygonaceae,Cultivated,South East Asia
Polygonum hydropiper L.,Polygonaceae,Naturalised,Temperate Europe
Polypogon monspeliensis (L.) Desf.,Poaceae,Invasive,Temperate Eurasia
Polyscias australiana (F.Muell.) Philipson ,Araliaceae,Cultivated,Australia
Polyscias balfouriana (André) Bailey  ,Araliaceae,Cultivated,Australia
Polyscias filicifolia Bailey,Araliaceae,Cultivated,Pacific Islands
Polyscias fruticosa (L.)Harms,Araliaceae,Cultivated,Tropical Asia
Polyscias guilfoylei Bailey,Araliaceae,Cultivated,Polynesia
Polyscias scutellaria Fosb.,Araliaceae,Cultivated,Pacific Islands
Polytrias indica (Houtt.) Veldkamp ,Poaceae,Naturalised,South East Asia
Pomaderris lanigera Sims,Rhamnaceae,Cultivated,Australia
Populus deltoides Marsh.,Salicaceae,Cultivated,North America
Porana volubilis Burm. f.,Convolvulaceae,Cultivated,South East Asia
Portlandia grandiflora L.,Rubiaceae,Cultivated,West Indies
Portulaca oleracea L.,Portulacaceae,Invasive,Europe & North Africa
Portulaca pilosa L. ssp. grandiflora Geesink,Portulacaceae,Cultivated,South America
Portulaca quadrifida L.,Portulacaceae,Invasive,Pantropical
Portulacaria afra Jacq.,Caryophyllaceae,Cultivated,South Africa
Potamogeton crispus L.,Potamogetonaceae,Invasive,Temperate Europe
Pouteria campechiana Bachni,Sapotaceae,Cultivated,Mexico
Primula malacoides Franchet,Primulaceae,Casual,China
Prosopis chilensis Stuntz,Mimosaceae,Casual/Naturalised,South America 
Prosopis glandulosa Torr.,Mimosaceae,Naturalised/Invasive,North America & Mexico
Prosopis juliflora (Sw.) DC.,Mimosaceae,Invasive,Mexico & Central America
Proustia pyrifolia Lag.,Asteraceae,Cultivated,Chile
Prunus armeniaca L.,Rosaceae,Naturalised,China
Prunus domestica L.,Rosaceae,Cultivated,Southern Europe & Caucasus
Prunus persica (L.) Batsch.,Rosaceae,Cultivated,China
Prunus pyrifolia Nakai,Rosaceae,Cultivated,China
Prunus salicina Lindl. ,Rosaceae,Cultivated,China
Prunus yedoensis Mats,Rosaceae,Cultivated,Japan & Korea
Pseudobombax ellipticum (Kunth) Dugand ,Bombacaceae,Cultivated,Central America
Pseudelephantopus spicatus Gleason,Asteraceae,Naturalised/Invasive,Mexico
Pseudomussaenda flava Verdc. ,Rubiaceae,Cultivated,Tropical Africa
Psidium cattleyanum Sabine,Myrtaceae,Cultivated,Brazil
Psidium friedrichsthelianum (Berg.) Nied.,Myrtaceae,Cultivated,Central America
Psidium guajava L.,Myrtaceae,Naturalised,Tropical America
Psidium guineense Swatz,Myrtaceae,Cultivated,Tropical America
Psophocarpus tetragonolobus DC,Paplionaceae,Cultivated,South East Asia
Pterocarpus indicus Willd.,Paplionaceae,Cultivated,South East Asia
Pterocarpus rotundifolius Druce,Paplionaceae,Cultivated,Tropical Africa
Pterocarya stenoptera DC.,Juglandaceae,Cultivated,China
Pterospermum acerifolium Willd.,Sterculiaceae,Cultivated,Myanamar
Pterospermum semisagittatum Buch.- Ham.,Sterculiaceae,Cultivated,Myanamar
Ptychosperma macarthurii H.Wendl. ex Hook.f.,Arecaceae,Cultivated,Australasia
Punica granatum L.,Punicaceae,Naturalised,Iran
Pupalia lappacea (L.) Juss.,Amaranthaceae,Naturalised,Africa
Pyrostegia venusta Miers.,Bignoniaceae,Cultivated,Brazil
Pyrus communis L.,Rosaceae,Cultivated,Southern Europe & West Asia
Pyrus pyrifolia Nakai,Rosaceae,Cultivated,China
Quassia amara L.,Simaroubaceae,Cultivated,Tropical America
Quisqualis indica L.,Combretaceae,Cultivated,South East Asia
Raphanus raphanistrum L.,Brassicaceae,Naturalised,"Europe, northern Africa & West Asia"
Raphanus sativus L.,Brassicaceae,Casual,West Asia
Rauvolfia tetraphylla L.,Apocynaceae,Naturalised,West Indies
Ravenala madagascariensis Sonn.,Musaceae,Cultivated,Madagascar
Ravenia spectabilis (Lindl.) Griseb.,Rutaceae,Cultivated,Cuba & Brazil
Reseda alba L.,Resedaceae,Cultivated,Southern Europe
Reseda luteola L.,Resedaceae,Casual/Naturalised,Europe
Reseda odorata L.,Resedaceae,Cultivated,Southern Europe & northern Africa
Rhamnus persica Boiss.,Rhamnaceae,Naturalised,Southern Europe & northern Africa
Rhaphidophora aurea (André) Birdsey ,Arecaceae,Cultivated,Solomon Islands
Rhapis excelsa A. Henry ex Rehder,Arecaceae,Cultivated,China & Japan
Rhododendron indicum Sw.,Ericaceae,Cultivated,Japan
Rhododendron mucronatum G. Don,Ericaceae,Cultivated,China & Japan
Rhododendron ponticum L.,Ericaceae,Cultivated,Southern Europe
Rhododendron simsii Planch.,Ericaceae,Cultivated,China & Taiwan
Rhus lancea L. f.,Anacardiaceae,Casual/Naturalised,Tropical Africa
Melinis repens C. E. Hubb.,Poaceae,Naturalised/Invasive,South Africa
Rhynchosia minima (L.) DC.,Paplionaceae,Naturalised,Pantropical
Richardia brasiliensis Gomes,Rubiaceae,Naturalised/Invasive,South America
Richardia scabra L.,Rubiaceae,Naturalised,South America 
Ricinus communis L.,Euphorbiaceae,Invasive,Tropical Africa
Rivina humilis L.,Phytolaccaceae,Naturalised/Invasive,South America
Robinia pseudo-acacia L.,Paplionaceae,Invasive,North America
Romneya coulteri Harv.,Papaveraceae,Naturalised,Central America
Rondeletia odorata Jacq.,Rubiaceae,Cultivated,Central America
Rorippa dubia (Persoon) H. Hara ,Brassicaceae,Invasive,Tropical America
Rosa banksiae Ait. f.,Rosaceae,Cultivated,China
Rosa cathayensis Bailey,Rosaceae,Casual/Naturalised,China
Rosa centifolia L.,Rosaceae,Cultivated,Caucasus
Rosa chinensis Jacq.,Rosaceae,Casual/Naturalised,China
Rosa damascena Mill.,Rosaceae,Casual/Naturalised,Cyrptogenic
Rosa laevigata Michx.,Rosaceae,Casual/Naturalised,China & Japan
Rosa moschata Mill.,Rosaceae,Cultivated,Cryptogenic
Rosa multiflora L.,Rosaceae,Naturalised,China & Japan
Rotheca incisa (Klotzsch) Steane & Mabb. ,Verbenaceae,Cultivated,Tropical Africa
Rotheca myricoides (Hochst.) Steane & Mabb.,Verbenaceae,Cultivated,Tropical Africa
Roystonea regia O. F. Cook,Arecaceae,Cultivated,Cuba
Ruellia tuberosa L.,Acanthaceae,Invasive,Tropical America
Rumex acetosella L.,Polygonaceae,Naturalised,Europe
Rumex crispus L.,Polygonaceae,Naturalised/Invasive,Europe
Ruscus aculeatus L.,Ruscaceae,Cultivated,Caucasus
Russelia equisetiformis Schlecht. & Cham.,Scrophulariaceae,Cultivated,Mexico
Russelia rotundifolia Cav.,Scrophulariaceae,Cultivated,Mexico
Russelia sarmentosa Jacq.,Scrophulariaceae,Cultivated,Mexico
Ruta graveolens L.,Rutaceae,Cultivated,Mediterranean region
Ruttya fruticosa Haw.,Acanthaceae,Cultivated,South Africa
Sabal mauritiiformis Griseb. & H.Wendl. ,Arecaceae,Cultivated,Central America
Sabal palmetto Lodd. ex Schult. & Schult. f. ,Arecaceae,Cultivated,North America & West Indies
Saccharum officinarum L.,Poaceae,Cultivated,South East Asia
Saccharum spontaneum L.,Poaceae,Invasive,Malayan peninsula
Salix babylonica L.,Salicaceae,Naturalised,West Asia
Salvia coccinea Juss.,Lamiaceae,Cultivated,Tropical America
Salvia farinacea Benth.,Lamiaceae,Cultivated,North America
Salvia leucantha Cav.,Lamiaceae,Cultivated,Mexico
Salvia officinalis L.,Lamiaceae,Cultivated,Mediterranean region
Salvia plebeia R. Br.,Lamiaceae,Naturalised,Australasia
Salvia splendens Sellow ex Nees,Lamiaceae,Cultivated,Tropical America
Salvinia molesta Mitchell ,Salvinaceae,Invasive,South America
Samanea saman Merr.,Mimosaceae,Casual/Naturalised,Tropical America
Sanchezia nobilis Hk.f.,Acanthaceae,Cultivated,Tropical America
Sansevieria cylindrica Bojer,Agavaceae,Cultivated,Tropical Africa
Sansevieria hyacinthoides (L.) Druce ,Haemodoraceae,Cultivated,Tropical South America
Sansevieria trifasciata Hort. ex Prain,Agavaceae,Cultivated,Tropical Africa
Sansevieria zeylanica (Jacq.) Willd.,Agavaceae,Casual/Naturalised,Tropical Asia
Santolina chamaecyparissus L.,Asteraceae,Casual/Naturalised,Mediterranean region
