Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Alternanthera philoxeroides (Mart.) Griseb.,Amaranthaceae,Alternanthera philoxeroides (Mart.) Griseb.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Alternanthera pungens Kunth,Amaranthaceae,Alternanthera pungens Kunth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Althaea ludwigii L.,Malvaceae,Althaea ludwigii L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Amaranthus caudatus L.,Amaranthaceae,Amaranthus caudatus L.,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Amaranthus cruentus L.,Amaranthaceae,Amaranthus cruentus L.,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus hybridus L.,Amaranthaceae,Amaranthus hybridus L.,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Amaranthus palmeri S.Watson,Amaranthaceae,Amaranthus palmeri S.Watson,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
Ambrosia artemisiifolia L.,Compositae,Ambrosia artemisiifolia L.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anacardium occidentale L.,Anacardiaceae,Anacardium occidentale L.,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
Anthoxanthum odoratum L.,Poaceae,Anthoxanthum odoratum L.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Antigonon leptopus Hook. & Am.,Polygonaceae,Antigonon leptopus Hook. & Arn.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Arctium lappa L.,Compositae,Arctium lappa L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argemone mexicana L.,Papaveraceae,Argemone mexicana L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Argemone ochroleuca Sweet,Papaveraceae,Argemone ochroleuca Sweet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Argemone subfusiformis Ownbey,Papaveraceae,Argemone subfusiformis Ownbey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asclepias curassavica L.,Apocynaceae,Asclepias curassavica L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Axonopus compressus (Sw.) P.Beauv.,Poaceae,Axonopus compressus (Sw.) P.Beauv.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bellis perennis L.,Compositae,Bellis perennis L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bidens biternata  (Lour.) Merr. & Sherff,Compositae,Bidens biternata (Lour.) Merr. & Sherff,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Bidens cernua L.,Compositae,Bidens cernua L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
