"response","fitted","trend","Time","bp","px","bty"
0.451446464646463,0.341603653080592,0.410617199282267,2001,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.48590404040404,0.372688547705973,0.410861130587691,2001.04347826087,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.486763564213565,0.399304608319455,0.411105061893114,2001.08695652174,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.461645238095238,0.410221819229176,0.411348993198538,2001.13043478261,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.418169264069264,0.398120627434167,0.411592924503961,2001.17391304348,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.364553246753247,0.363169479246238,0.411836855809385,2001.21739130435,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.307995670995671,0.314964193360797,0.412080787114808,2001.26086956522,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.218692640692641,0.271015913593758,0.412324718420232,2001.30434782609,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.232667965367965,0.251349643150813,0.412568649725656,2001.34782608696,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.278106961869177,0.270840518294969,0.412812581031079,2001.39130434783,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.379714117772641,0.332482016913784,0.413056512336503,2001.4347826087,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.503441368897254,0.424820937265386,0.413300443641926,2001.47826086957,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.630755814810118,0.525101899196768,0.41354437494735,2001.52173913043,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.714495117848893,0.607038233974363,0.413788306252773,2001.5652173913,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.713401269355572,0.649943388627451,0.414032237558197,2001.60869565217,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.643031412187298,0.645382586040872,0.414276168863621,2001.65217391304,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.558127970586494,0.59881643639259,0.414520100169044,2001.69565217391,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.460955879618095,0.526146176631931,0.414764031474468,2001.73913043478,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.376819913419913,0.447297462039424,0.415007962779891,2001.78260869565,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.316398701298701,0.379870533555596,0.415251894085315,2001.82608695652,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.29967316017316,0.33515573870912,0.415495825390738,2001.86956521739,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.273248917748918,0.317121795671105,0.415739756696162,2001.91304347826,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.287181385281385,0.32345399533017,0.415983688001586,2001.95652173913,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.326228571428571,0.347214073105364,0.416227619307009,2002,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.40237012987013,0.378298967730769,0.416471550612433,2002.04347826087,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.472800432900433,0.404915028344233,0.416715481917856,2002.08695652174,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.502892207792208,0.415832239253937,0.41695941322328,2002.13043478261,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.487872727272727,0.403731047458811,0.417203344528703,2002.17391304348,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.433467532467532,0.368779899270858,0.417447275834127,2002.21739130435,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.352777489177489,0.320574613385436,0.417691207139551,2002.26086956522,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.290763203463203,0.276626333618454,0.417935138444974,2002.30434782609,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.26121341991342,0.256960063175545,0.418179069750398,2002.34782608696,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.27232987012987,0.27645093831982,0.418423001055821,2002.39130434783,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.32491341991342,0.338092436938741,0.418666932361245,2002.4347826087,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.333992207792208,0.430431357290411,0.418910863666668,2002.47826086957,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.384424242424242,0.530712319221057,0.419154794972092,2002.52173913043,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.45331645021645,0.612648653998833,0.419398726277516,2002.5652173913,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.544298268398268,0.655553808652099,0.419642657582939,2002.60869565217,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.578421212121212,0.650993006065588,0.419886588888363,2002.65217391304,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.584504329004329,0.60442685641715,0.420130520193786,2002.69565217391,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.540830735930736,0.531756596657009,0.42037445149921,2002.73913043478,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.478683116883117,0.452907882064442,0.420618382804633,2002.78260869565,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.37357012987013,0.38548095358024,0.420862314110057,2002.82608695652,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.336081385281385,0.34076615873381,0.42110624541548,2002.86956521739,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.323377922077922,0.322732215695803,0.421350176720904,2002.91304347826,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.328672294372294,0.329064415354918,0.421594108026328,2002.95652173913,2012.60869565217,93,"(3) Monotonic increase: positive break"
0.33138658008658,0.352824493129963,0.421838039331751,2003,2012.60869565217,93,"(3) Monotonic increase: positive break"
